model,snaive_bc_bs,ets_log,arima_bc_bs,nnetar_bc_bs,tslm_fourier,stl_arima_bc,hist_week,bsts_seasonal,ets_bc,arima_log,nnetar_log
snaive_bc_bs,1,0.147,0.281,0.322,0.722,0.554,0.778,0.029,0.138,0.283,0.319
ets_log,0.147,1,0.939,0.654,-0.041,0.635,0.124,0.62,0.996,0.946,0.656
arima_bc_bs,0.281,0.939,1,0.725,0.168,0.744,0.303,0.598,0.941,0.984,0.724
nnetar_bc_bs,0.322,0.654,0.725,1,0.332,0.611,0.341,0.601,0.669,0.704,0.957
tslm_fourier,0.722,-0.041,0.168,0.332,1,0.544,0.867,-0.002,-0.044,0.156,0.314
stl_arima_bc,0.554,0.635,0.744,0.611,0.544,1,0.591,0.491,0.63,0.736,0.613
hist_week,0.778,0.124,0.303,0.341,0.867,0.591,1,-0.006,0.114,0.296,0.333
bsts_seasonal,0.029,0.62,0.598,0.601,-0.002,0.491,-0.006,1,0.644,0.572,0.582
ets_bc,0.138,0.996,0.941,0.669,-0.044,0.63,0.114,0.644,1,0.943,0.667
arima_log,0.283,0.946,0.984,0.704,0.156,0.736,0.296,0.572,0.943,1,0.704
nnetar_log,0.319,0.656,0.724,0.957,0.314,0.613,0.333,0.582,0.667,0.704,1
