model,mae,wis,wis_over,wis_under,wis_disp,cov_50_rate,cov_95_rate,n_forecasts
nnetar_log,0.435802345196942,0.28339255114726636,0.08229878743401034,0.1086327532047192,0.09246101050853721,0.39712918660287083,0.8903508771929824,2508
nnetar_bc_bs,0.42910396027523917,0.2837674451229726,0.08755456672264256,0.1100774357217656,0.0861354426785651,0.38596491228070173,0.8696172248803827,2508
stl_arima_bc,0.4438923602805775,0.28803205681598093,0.04273047303991465,0.14250004045684822,0.10280154331921751,0.49282296650717705,0.9585326953748007,2508
arima_bc_bs,0.4686599072011923,0.2990851463568473,0.05088090597732224,0.11879409274883238,0.129410147630693,0.529505582137161,0.9884370015948963,2508
arima_log,0.4802218703766853,0.3119350037819893,0.052593935044793406,0.11509591390037606,0.14424515483681952,0.5434609250398724,0.990829346092504,2508
ets_bc,0.5256206920697623,0.33051378029262124,0.09432114952068357,0.08802619241544381,0.14816643835649473,0.5067783094098883,0.9864433811802232,2508
ets_log,0.5360358224260752,0.34053752802956044,0.09241148402935671,0.0858065151095849,0.16231952889061896,0.518341307814992,0.9900318979266348,2508
hist_week,0.6450340109168686,0.4348433700940491,0.04745565905444544,0.20308979326103485,0.18429791777856896,0.4904306220095694,0.8740031897926634,2508
bsts_seasonal,0.719730415042554,0.48384589184350096,0.14971217251033891,0.09608808630781376,0.2380456330253482,0.6766347687400319,0.9529505582137161,2508
tslm_fourier,0.7741408500202294,0.48775879926628285,0.09827155330954879,0.14787681238646608,0.24161043357026826,0.5119617224880383,0.9952153110047847,2508
snaive_bc_bs,0.9530755290942738,0.62591637330087,0.19709982170418308,0.1878924596212172,0.2409240919754725,0.49760765550239233,0.9896331738437002,2508
